Time(Iteration),EpsilonGreedyLinearBandit,EpsilonGreedyMultiArmedBandit
540,42.5939203156792,48.07500905058214
541,42.62729761379175,48.12860309600542
542,42.6818890237185,48.149150203047085
543,42.69268480570849,48.19831633079076
544,42.90986077277934,48.24220530425596
545,42.94178831227358,48.27242151644839
546,43.00640034714236,48.34927223567496
547,43.0777302271285,48.50363444230662
548,43.08852600911849,48.53615983997219
549,43.141867154689145,48.597581555655104
550,43.16561491512226,48.672977353374925
551,43.231209877674914,48.749697724303026
552,43.242005659664905,48.78204808772234
553,43.31147083994126,48.89721427273555
554,43.336108206950215,48.935180367972634
555,43.37250208199364,48.95268488055938
556,43.41232589618194,49.021029930672555
557,43.479847729594624,49.037052023542074
558,43.520050769625485,49.103890405120055
559,43.56948982909664,49.166772439528444
560,43.58028561108663,49.205041486219116
561,43.63863694692499,49.221063579088636
562,43.727018267098025,49.31152615158665
563,43.88670248461597,49.32754824445617
564,43.91245992762851,49.34357033732569
565,43.97767703610091,49.415555964349196
566,44.0309807377915,49.47341059845719
567,44.12579074305017,49.48943269132671
568,44.13658652504016,49.553501893845755
569,44.237618191428076,49.61638392825414
570,44.33251864685097,49.63240602112366
571,44.411901403242084,49.66334165539841
572,44.42269718523208,49.67936374826793
573,44.4484065086273,49.83332137109158
574,44.503409856229176,49.9019236821039
575,44.623404555433964,49.91794577497342
576,44.642450561041954,49.9560532868071
577,44.653246343031945,50.0336899917921
578,44.71159767887031,50.13151836536362
579,44.790852514789805,50.20161684618135
580,44.826511414032026,50.271455191929654
581,44.893304495097624,50.287477284799174
582,44.96802145778789,50.42965988822555
583,45.07589108901035,50.48318414586052
584,45.2220772400083,50.53998247299874
585,45.28830182627904,50.55600456586826
586,45.35205235126462,50.68482995978078
587,45.50374739666875,50.7008520526503
588,45.63219336276188,50.82644908404471
589,45.701143447476184,50.84247117691423
590,45.71193922946618,50.85849326978375
591,45.73853226247981,50.87451536265327
592,45.80707812304599,50.96528238567086
593,45.90448304650807,50.98130447854038
594,45.991153669778896,51.07724088561676
595,46.00194945176889,51.15141638774734
596,46.10093856658771,51.21781515232258
597,46.17527284479613,51.23383724519209
598,46.32538382742622,51.30992228357921
599,46.4602802964271,51.32594437644873
600,46.613959777091125,51.389365594054404
601,46.62980769165613,51.46633637283901
602,46.6344539682937,51.48235846570852
603,46.72101507868682,51.63582893805782
604,46.725661355324384,51.65185103092733
605,46.73030763196194,51.71584608025039
606,46.73495390859951,51.75648413477753
607,46.80062198420323,51.8466636924152
608,46.80526826084079,51.86268578528471
609,46.82641784227441,51.95337291103275
610,46.83106411891197,52.00798169685953
611,46.91567265646982,52.04466803325804
612,47.00692807457947,52.08468320157846
613,47.01157435121703,52.14756523598684
614,47.04452993596566,52.16358732885635
615,47.1342492408807,52.202190937848414
616,47.180724726488,52.271963890516034
617,47.21237473454806,52.287985983385546
618,47.24186778382268,52.477711110853626
619,47.246514060460235,52.625941305350366
620,47.26254011898358,52.689044385597455
621,47.3359928687073,52.762439883348165
622,47.38124788195652,52.778461976217685
623,47.46367283230204,52.7944840690872
624,47.4683191089396,52.89272094062568
625,47.56700189008481,52.992385906576615
626,47.64942404186308,53.00840799944613
627,47.654070318500644,53.02443009231564
628,47.70126195871887,53.13951061899203
629,47.769763938810776,53.15553271186154
630,47.774410215448334,53.17155480473106
631,47.852253798667334,53.18757689760057
632,47.900386394313664,53.22363379584268
633,47.93291045594771,53.23965588871219
634,47.99714302242604,53.311127793132094
635,48.037346062456905,53.32714988600161
636,48.046068790922085,53.37665036694202
637,48.14584064928311,53.392672459811536
638,48.16638794529228,53.40869455268105
639,48.24540003330659,53.491129697328404
640,48.25004630994415,53.58895807089991
641,48.25469258658171,53.60193756931451
642,48.37147413223965,53.61795966218402
643,48.4338704874534,53.68943156660392
644,48.486007901551105,53.726158825451634
645,48.53126824013994,53.83154693184349
646,48.64759681392121,53.87862499453199
647,48.713220703224565,54.03241461481927
648,48.77250168050536,54.14516941507602
649,48.79624922731566,54.21726318668677
650,48.826576147434764,54.25302884939218
651,48.847123443443934,54.322582257946145
652,48.87261479001401,54.405273839833455
653,48.89839282415583,54.42129593270297
654,48.903039100793386,54.43731802557248
655,48.98694816208378,54.453340118442
656,48.991594438721336,54.498637975929626
657,49.03006058274635,54.54296937691021
658,49.03470685938392,54.631263780926815
659,49.09134704248134,54.68531443799427
660,49.095993319118904,54.701336530863784
661,49.147720583134046,54.7173586237333
662,49.177600320202046,54.804245915197406
663,49.182246596839605,54.92002026145907
664,49.209749450551456,55.02500712053391
665,49.320013439658915,55.04102921340342
666,49.32465971629647,55.05705130627293
667,49.383454807391296,55.18520470592684
668,49.38810108402886,55.201226798796355
669,49.440331665765726,55.217248891665875
670,49.52489225661015,55.23327098453539
671,49.64140137463562,55.28323304663621
672,49.69730912933772,55.299255139505725
673,49.80038444160085,55.365653904080965
674,50.003702659958556,55.38167599695048
675,50.046119055075636,55.47084964564065
676,50.050765331713194,55.57893157960474
677,50.195027107893125,55.594953672474254
678,50.247150824842365,55.6825307269451
679,50.33316172327893,55.69855281981462
680,50.337807999916485,55.76062963287586
681,50.34245427655405,55.86122553503003
682,50.34710055319161,55.90625315163959
683,50.38232615588371,56.04997395935536
684,50.462254964172615,56.1444231921413
685,50.54934122760424,56.160445285010816
686,50.648326364930135,56.2233273194192
687,50.705913097584165,56.23934941228871
688,50.764490213135,56.36345921019512
689,50.769136489772556,56.43029759177309
690,50.919000144663904,56.4463196846426
691,50.99556863270207,56.6007035845959
692,51.022392341027775,56.61672567746541
693,51.120858386345176,56.63274777033492
694,51.167010966550805,56.648769863204436
695,51.25484943684874,56.7054006926856
696,51.259495713486295,56.75102429416897
697,51.26414199012386,56.787392704907994
698,51.30136963636746,56.803414797777506
699,51.35792932267549,56.84480249334596
700,51.42419512443081,56.86082458621547
701,51.47965768977683,56.93229649063537
702,51.488380418242016,56.9562992634627
703,51.493026694879575,57.051456608746136
704,51.49767297151713,57.146123132364814
705,51.53411250024391,57.17012590519214
706,51.538758776881465,57.26761604631586
707,51.610704177203296,57.28363813918537
708,51.61535045384086,57.34044563639263
709,51.696419067179306,57.43102947191305
710,51.701065343816865,57.44705156478257
711,51.81950817374151,57.47777047468206
712,51.86244035513751,57.58103640134235
713,51.86708663177507,57.597058494211865
714,51.871732908412625,57.68091145312421
715,51.95883730761852,57.75973575714494
716,52.0216378869804,57.85204833145609
717,52.02628416361796,57.86807042432561
718,52.055882020626214,57.96206006626922
719,52.06052829726377,57.97808215913873
720,52.110724333393065,58.10218075364971
721,52.135911251445734,58.118202846519225
722,52.229160089718334,58.16816490862006
723,52.29155644493208,58.18418700148957
724,52.33842183331704,58.266673927776274
725,52.394667910927886,58.37650128595076
726,52.44071709067602,58.494727373201194
727,52.445363367313576,58.551657601600574
728,52.450009643951134,58.68345099546856
729,52.546563186604274,58.699473088338074
